date,period_3class,period_binary,loop_ratio,total_plays,unique_tracks,unique_artists,tracks_per_play,avg_ms_played,median_ms_played,std_ms_played,total_listening_minutes,night_play_ratio,morning_play_ratio,afternoon_play_ratio,evening_play_ratio,peak_hour,hour_entropy,day_of_week_num,is_weekend
2025-11-27,regular,regular,0.0,11,11,10,1.0,155250.0909090909,139327.0,62384.497164687564,28.462516666666666,0.0,0.36363636363636365,0.6363636363636364,0.0,14,0.945660305488784,3,0
2025-11-28,regular,regular,0.03333333333333333,30,29,23,0.9666666666666667,193208.66666666666,206573.0,69535.0349349326,96.60433333333333,0.0,0.7666666666666667,0.1,0.13333333333333333,8,2.074627699296591,4,0
2025-11-29,regular,regular,0.08333333333333333,12,11,11,0.9166666666666666,153414.5,138547.5,51539.77982014563,30.6829,0.0,0.16666666666666666,0.8333333333333334,0.0,15,0.6500224225443297,5,1
2025-11-30,regular,regular,0.0,3,3,3,1.0,107652.33333333333,102699.0,28427.5225324567,5.382616666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,21,0.9182958349433488,6,1
2025-12-01,regular,regular,0.1,10,9,9,0.9,152330.8,152854.5,101206.17698408202,25.388466666666666,0.0,0.5,0.2,0.3,9,2.4464393453721525,0,0
2025-12-02,regular,regular,0.0,6,6,5,1.0,230140.0,236160.0,30708.245785130744,23.014,0.0,1.0,0.0,0.0,10,0.6500224225443298,1,0
2025-12-03,regular,regular,0.0,21,21,19,1.0,209430.80952380953,217920.0,98038.28296824616,73.30078333333333,0.0,0.2857142857142857,0.6666666666666666,0.047619047619047616,12,1.5099686134370935,2,0
2025-12-04,regular,regular,0.1,30,27,25,0.9,167750.16666666666,184932.0,85200.5225182631,83.87508333333334,0.0,0.9666666666666667,0.03333333333333333,0.0,11,1.9974168458543615,3,0
2025-12-05,regular,regular,0.16393442622950818,61,51,39,0.8360655737704918,137158.68852459016,134832.0,85997.07893673696,139.44466666666668,0.0,0.21311475409836064,0.04918032786885246,0.7377049180327869,18,2.3112564444416552,4,0
2025-12-06,regular,regular,0.30434782608695654,23,16,14,0.6956521739130435,151782.86956521738,161533.0,80411.26109190991,58.18343333333333,0.0,0.5217391304347826,0.34782608695652173,0.13043478260869565,9,2.229871195766146,5,1
2025-12-07,regular,regular,0.08333333333333333,12,11,9,0.9166666666666666,195540.41666666666,152673.0,102366.6739284531,39.10808333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,14,2.054585170086318,6,1
2025-12-08,regular,regular,0.11538461538461539,52,46,36,0.8846153846153846,172609.3076923077,177526.5,63364.319536588104,149.59473333333332,0.0,0.2692307692307692,0.6923076923076923,0.038461538461538464,12,2.8379042584901075,0,0
2025-12-09,regular,regular,0.1,30,27,24,0.9,179774.8,181486.5,64647.72980754209,89.8874,0.0,0.03333333333333333,0.6333333333333333,0.3333333333333333,14,2.5092889033729096,1,0
2025-12-10,pre_exam,exam_period,0.11904761904761904,42,37,30,0.8809523809523809,166638.95238095237,179218.0,73410.27667141221,116.64726666666667,0.0,0.0,1.0,0.0,14,1.8859608570308435,2,0
2025-12-11,pre_exam,exam_period,0.25,44,33,22,0.75,126582.06818181818,113777.5,59771.38562089519,92.82685,0.0,0.4090909090909091,0.5909090909090909,0.0,15,2.7768855996310067,3,0
2025-12-12,pre_exam,exam_period,0.22727272727272727,44,34,24,0.7727272727272727,175712.95454545456,191938.0,71562.68666747813,128.85616666666667,0.022727272727272728,0.38636363636363635,0.38636363636363635,0.20454545454545456,12,3.0102357465809217,4,0
2025-12-13,exam_day,exam_period,0.14814814814814814,54,46,41,0.8518518518518519,172676.11111111112,166079.0,76557.39098506591,155.4085,0.018518518518518517,0.25925925925925924,0.7222222222222222,0.0,14,2.8620541803655217,5,1
2025-12-14,regular,regular,0.045454545454545456,22,21,16,0.9545454545454546,148486.63636363635,169293.0,71705.47461701895,54.4451,0.0,0.2727272727272727,0.7272727272727273,0.0,15,1.4769092857948325,6,1
2025-12-15,regular,regular,0.1,30,27,17,0.9,204509.06666666668,199032.0,54574.73214866795,102.25453333333333,0.0,0.4666666666666667,0.26666666666666666,0.26666666666666666,7,2.7213028823873424,0,0
2025-12-16,regular,regular,0.18181818181818182,11,9,8,0.8181818181818182,161085.45454545456,161533.0,66087.83697529166,29.532333333333334,0.0,0.09090909090909091,0.8181818181818182,0.09090909090909091,17,2.0403733944373132,1,0
2025-12-17,pre_exam,exam_period,0.375,16,10,8,0.625,170303.875,194364.0,60954.39362001178,45.414366666666666,0.0,0.4375,0.5,0.0625,12,2.7806390628495548,2,0
2025-12-18,pre_exam,exam_period,0.14285714285714285,7,6,6,0.8571428571428571,154925.14285714287,163850.0,81215.37001583829,18.0746,0.0,0.42857142857142855,0.5714285714285714,0.0,13,2.521640637042148,3,0
2025-12-19,pre_exam,exam_period,0.2,25,20,16,0.8,168271.68,171653.0,70886.75338566439,70.1132,0.0,0.08,0.84,0.08,17,2.1454513999870093,4,0
